gid,gset,mplay,mtid,gplay,gtid,qj,qs,qr,kend,kwin,kwinrq,tweek,tplay,tsell,cid,pwin9,pdraw9,plost9,kwin_sta
607051,西甲,埃瓦尔,562,格拉纳,4607,-1.0,-1.0,0.0,0,-1.0,-1.0,1,2017-02-13,2017-02-13 23:55:00,1,1.46,3.75,5.65,3.0
572965,英超,伯恩茅,667,曼城,1072,-1.0,-1.0,0.0,0,-1.0,-1.0,1,2017-02-13,2017-02-13 23:55:00,1,6.35,4.35,1.35,0.0
581456,澳超,西悉尼,7014,中央海,3616,-1.0,-1.0,0.0,0,-1.0,-1.0,0,2017-02-12,2017-02-12 13:55:00,1,1.29,4.75,7.0,3.0
610613,意甲,克罗托,243,罗马,1032,-1.0,-1.0,0.0,0,-1.0,-1.0,0,2017-02-12,2017-02-12 19:25:00,1,7.5,4.6,1.29,0.0
572966,英超,伯恩利,700,切尔西,1173,-1.0,-1.0,0.0,0,-1.0,-1.0,0,2017-02-12,2017-02-12 21:25:00,1,7.5,4.3,1.31,0.0
575958,荷甲,阿贾克,540,鹿特丹,518,-1.0,-1.0,0.0,0,-1.0,-1.0,0,2017-02-12,2017-02-12 21:25:00,1,1.12,6.25,13.0,3.0
610612,意甲,都灵,776,佩斯卡,1156,-1.0,-1.0,0.0,0,-1.0,-1.0,0,2017-02-12,2017-02-12 21:55:00,1,1.33,4.45,6.6,3.0
610608,意甲,国米,846,恩波利,788,-1.0,-1.0,0.0,0,-1.0,-1.0,0,2017-02-12,2017-02-12 21:55:00,1,1.23,4.8,9.5,3.0
634265,苏足总杯,流浪者,827,摩顿,3542,-1.0,-1.0,0.0,0,-1.0,-1.0,0,2017-02-12,2017-02-12 22:55:00,1,1.14,5.8,12.5,3.0
575960,荷甲,埃因霍,378,乌德勒,1275,-1.0,-1.0,0.0,0,-1.0,-1.0,0,2017-02-12,2017-02-12 23:40:00,1,1.24,5.0,8.25,3.0
609784,葡超,摩雷伦斯,1110,里斯本,1000,-1.0,-1.0,0.0,0,-1.0,-1.0,0,2017-02-12,2017-02-13 00:55:00,1,6.0,3.75,1.44,0.0
610610,意甲,卡利亚,917,尤文,1330,-1.0,-1.0,0.0,0,-1.0,-1.0,0,2017-02-12,2017-02-13 00:55:00,1,9.2,5.0,1.22,0.0
607049,西甲,马竞技,1046,塞尔塔,457,-1.0,-1.0,0.0,0,-1.0,-1.0,0,2017-02-12,2017-02-13 00:55:00,1,1.26,4.45,9.0,3.0
572964,英超,阿森纳,554,赫尔城,872,-1.0,-1.0,0.0,0,-1.0,-1.0,6,2017-02-11,2017-02-11 20:25:00,1,1.2,5.25,9.5,3.0
596340,德甲,因戈尔,2918,拜仁,664,-1.0,-1.0,0.0,0,-1.0,-1.0,6,2017-02-11,2017-02-11 22:25:00,1,9.5,4.8,1.23,0.0
596342,德甲,莱比锡,970,汉堡,860,-1.0,-1.0,0.0,0,-1.0,-1.0,6,2017-02-11,2017-02-11 22:25:00,1,1.34,4.2,7.0,3.0
596338,德甲,达姆施,1926,多特,786,-1.0,-1.0,0.0,0,-1.0,-1.0,6,2017-02-11,2017-02-11 22:25:00,1,8.0,4.8,1.26,0.0
572968,英超,曼联,1075,沃特福,1274,-1.0,-1.0,0.0,0,-1.0,-1.0,6,2017-02-11,2017-02-11 22:55:00,1,1.14,5.75,13.0,3.0
577886,英冠,布赖顿,721,伯顿,2351,-1.0,-1.0,0.0,0,-1.0,-1.0,6,2017-02-11,2017-02-11 22:55:00,1,1.37,3.95,6.85,3.0
577889,英冠,富勒姆,811,维冈,1258,-1.0,-1.0,0.0,0,-1.0,-1.0,6,2017-02-11,2017-02-11 22:55:00,1,1.46,3.85,5.4,3.0
577892,英冠,诺维奇,1144,诺丁汉,1142,-1.0,-1.0,0.0,0,-1.0,-1.0,6,2017-02-11,2017-02-11 22:55:00,1,1.49,3.85,5.05,3.0
607047,西甲,阿拉维,542,巴萨,653,-1.0,-1.0,0.0,0,-1.0,-1.0,6,2017-02-11,2017-02-11 23:10:00,1,10.0,5.2,1.2,0.0
607048,西甲,毕尔巴,690,拉科鲁,959,-1.0,-1.0,0.0,0,-1.0,-1.0,6,2017-02-11,2017-02-12 00:55:00,1,1.5,3.65,5.4,3.0
575956,荷甲,费耶诺,801,格罗宁,834,-1.0,-1.0,0.0,0,-1.0,-1.0,6,2017-02-11,2017-02-12 00:55:00,1,1.21,5.2,9.0,3.0
574021,法甲,摩纳哥,1105,梅斯,1084,-1.0,-1.0,0.0,0,-1.0,-1.0,6,2017-02-11,2017-02-12 00:55:00,1,1.15,5.95,11.0,3.0
607055,西甲,奥萨苏,622,皇马,883,-1.0,-1.0,0.0,0,-1.0,-1.0,6,2017-02-11,2017-02-12 00:55:00,1,12.0,6.55,1.12,0.0
609783,葡超,吉马良,893,波尔图,694,-1.0,-1.0,0.0,0,-1.0,-1.0,6,2017-02-11,2017-02-12 00:55:00,1,6.5,3.85,1.4,0.0
580032,荷乙,坎布尔,235,福图纳,1303,-1.0,-1.0,0.0,0,-1.0,-1.0,5,2017-02-10,2017-02-10 23:55:00,1,1.19,5.3,10.0,3.0
580034,荷乙,埃因FC,1797,奥斯,1172,-1.0,-1.0,0.0,0,-1.0,-1.0,5,2017-02-10,2017-02-10 23:55:00,1,1.42,4.55,4.86,3.0
580035,荷乙,布雷达,350,瓦尔韦,385,-1.0,-1.0,0.0,0,-1.0,-1.0,5,2017-02-10,2017-02-10 23:55:00,1,1.37,4.45,5.75,3.0
580037,荷乙,特尔斯,1799,阿喀琉,3753,-1.0,-1.0,0.0,0,-1.0,-1.0,5,2017-02-10,2017-02-10 23:55:00,1,1.43,4.1,5.4,3.0
580036,荷乙,芬洛,435,海尔蒙,1795,-1.0,-1.0,0.0,0,-1.0,-1.0,5,2017-02-10,2017-02-10 23:55:00,1,1.28,4.65,7.5,3.0
610609,意甲,那不勒,1125,热那亚,1179,-1.0,-1.0,0.0,0,-1.0,-1.0,5,2017-02-10,2017-02-10 23:55:00,1,1.17,5.65,10.2,3.0
574026,法甲,波尔多,693,日尔曼,647,-1.0,-1.0,0.0,0,-1.0,-1.0,5,2017-02-10,2017-02-10 23:55:00,1,5.65,3.8,1.45,0.0
609776,葡超,本菲卡,678,阿罗卡,5551,-1.0,-1.0,0.0,0,-1.0,-1.0,5,2017-02-10,2017-02-10 23:55:00,1,1.1,6.35,16.0,3.0
634475,巴超联杯,米内罗,1570,若因,6888,2.0,0.0,0.0,1,3.0,-1.0,4,2017-02-10,2017-02-09 23:55:00,1,1.05,7.5,24.0,3.0
634484,解放者杯,勇者,2266,漫游者,2740,4.0,0.0,0.0,1,3.0,-1.0,4,2017-02-10,2017-02-09 23:55:00,1,1.22,5.0,9.1,3.0
634485,解放者杯,奥林匹,3604,德尔瓦,6165,3.0,1.0,0.0,1,3.0,-1.0,4,2017-02-10,2017-02-09 23:55:00,1,1.41,3.75,6.5,3.0
581452,澳超,悉尼FC,3302,惠灵顿,4577,3.0,1.0,0.0,1,3.0,-1.0,4,2017-02-09,2017-02-09 16:45:00,1,1.26,4.75,8.0,3.0
610548,意甲,克罗托,243,尤文,1330,0.0,2.0,0.0,1,0.0,-1.0,3,2017-02-09,2017-02-08 23:55:00,1,13.0,5.7,1.14,0.0
574014,法甲,里昂,997,南锡,1130,4.0,0.0,0.0,1,3.0,-1.0,3,2017-02-09,2017-02-08 23:55:00,1,1.22,5.0,9.1,3.0
627070,德国杯,多特,786,赫塔,659,1.0,1.0,0.0,1,1.0,-1.0,3,2017-02-09,2017-02-08 23:55:00,1,1.2,5.15,9.8,3.0
634467,巴超联杯,弗拉门,1577,格雷米,1580,2.0,0.0,0.0,1,3.0,-1.0,3,2017-02-09,2017-02-08 23:55:00,1,1.43,3.75,6.1,3.0
631902,日新杯,北九州,6182,磐田,1151,0.0,1.0,0.0,1,0.0,-1.0,3,2017-02-08,2017-02-08 12:55:00,1,5.5,3.75,1.47,0.0
633125,亚冠杯,瓦赫达,3383,威达特,6747,3.0,0.0,0.0,1,3.0,-1.0,2,2017-02-08,2017-02-07 23:55:00,1,1.34,4.25,6.75,3.0
627069,德国杯,拜仁,664,沃尔夫,1269,1.0,0.0,0.0,1,3.0,-1.0,2,2017-02-08,2017-02-07 23:55:00,1,1.07,7.4,17.0,3.0
610597,意甲,罗马,1032,佛罗伦,803,4.0,0.0,0.0,1,3.0,-1.0,2,2017-02-08,2017-02-07 23:55:00,1,1.39,4.15,5.9,3.0
632910,西班牙杯,巴萨,653,马竞技,1046,1.0,1.0,0.0,1,1.0,-1.0,2,2017-02-08,2017-02-07 23:55:00,1,1.41,4.06,5.74,3.0
574018,法甲,日尔曼,647,里尔,998,2.0,1.0,0.0,1,3.0,-1.0,2,2017-02-08,2017-02-07 23:55:00,1,1.11,5.95,16.5,3.0
580022,荷乙,阿喀琉,3753,埃因FC,1797,4.0,3.0,0.0,1,3.0,-1.0,1,2017-02-07,2017-02-06 23:55:00,1,6.2,4.3,1.36,0.0
580027,荷乙,福伦丹,1273,登博思,756,2.0,1.0,0.0,1,3.0,-1.0,1,2017-02-07,2017-02-06 23:55:00,1,1.28,4.8,7.2,3.0
580029,荷乙,布雷达,350,多德勒,785,1.0,0.0,0.0,1,3.0,-1.0,1,2017-02-07,2017-02-06 23:55:00,1,1.24,5.15,7.75,3.0
596642,德乙,斯图加,1195,杜塞尔,781,2.0,0.0,0.0,1,3.0,-1.0,1,2017-02-07,2017-02-06 23:55:00,1,1.42,4.05,5.6,3.0
