time,open,high,low,close,volume,amount,xtim
2016-11-14 09:00:00,27.02,27.02,27.02,27.02,19.0,51338.0,2016-11-14 09:00:00
2016-11-14 09:30:00,27.08,27.29,26.97,27.21,6140.0,16668855.0,2016-11-14 09:30:00
2016-11-14 10:00:00,27.21,27.22,27.1,27.1,5709.0,15527529.0,2016-11-14 10:00:00
2016-11-14 10:30:00,27.09,27.23,27.06,27.18,5939.0,16131092.0,2016-11-14 10:30:00
2016-11-14 11:00:00,27.18,27.18,27.07,27.08,3456.0,9374047.0,2016-11-14 11:00:00
2016-11-14 11:30:00,27.08,27.08,27.08,27.08,0.0,0.0,2016-11-14 11:30:00
2016-11-14 13:00:00,27.09,27.15,27.05,27.07,3297.0,8943709.0,2016-11-14 13:00:00
2016-11-14 13:30:00,27.07,27.07,26.85,26.88,6500.0,17525064.0,2016-11-14 13:30:00
2016-11-14 14:00:00,26.89,26.95,26.59,26.77,12754.0,34141574.0,2016-11-14 14:00:00
2016-11-14 14:30:00,26.77,26.94,26.77,26.81,4973.0,13360739.0,2016-11-14 14:30:00
2016-11-14 15:00:00,26.8,26.8,26.8,26.8,283.0,758440.0,2016-11-14 15:00:00
2016-11-15 09:00:00,26.8,26.8,26.8,26.8,22.0,58960.0,2016-11-15 09:00:00
2016-11-15 09:30:00,26.8,26.94,26.66,26.76,4506.0,12090810.0,2016-11-15 09:30:00
2016-11-15 10:00:00,26.76,26.92,26.76,26.81,3907.0,10492316.0,2016-11-15 10:00:00
2016-11-15 10:30:00,26.81,26.87,26.79,26.85,1624.0,4357339.0,2016-11-15 10:30:00
2016-11-15 11:00:00,26.86,26.94,26.8,26.85,2751.0,7396826.0,2016-11-15 11:00:00
2016-11-15 11:30:00,26.85,26.85,26.85,26.85,30.0,80550.0,2016-11-15 11:30:00
2016-11-15 13:00:00,26.85,26.93,26.82,26.91,3251.0,8746965.0,2016-11-15 13:00:00
2016-11-15 13:30:00,26.91,26.93,26.86,26.9,5915.0,15933030.0,2016-11-15 13:30:00
2016-11-15 14:00:00,26.9,27.1,26.88,27.06,5811.0,15719899.0,2016-11-15 14:00:00
2016-11-15 14:30:00,27.04,27.11,26.98,27.1,9455.0,25557258.0,2016-11-15 14:30:00
2016-11-15 15:00:00,27.1,27.1,27.1,27.1,698.0,1891580.0,2016-11-15 15:00:00
2016-11-16 09:00:00,27.11,27.11,27.11,27.11,21.0,56931.0,2016-11-16 09:00:00
2016-11-16 09:30:00,27.11,27.23,27.0,27.17,3977.0,10776728.0,2016-11-16 09:30:00
2016-11-16 10:00:00,27.19,27.23,27.08,27.16,3608.0,9795526.0,2016-11-16 10:00:00
2016-11-16 10:30:00,27.19,27.26,27.15,27.23,4860.0,13233264.0,2016-11-16 10:30:00
2016-11-16 11:00:00,27.24,27.28,27.18,27.2,4251.0,11576961.0,2016-11-16 11:00:00
