gid,cid,cname,pwin0,pdraw0,plost0,pwin9,pdraw9,plost9,vwin0,vdraw0,vlost0,vwin9,vdraw9,vlost9,vback0,vback9,vwin0kali,vdraw0kali,vlost0kali,vwin9kali,vdraw9kali,vlost9kali,gplay,gset,gtid,kwin,kwinrq,mplay,mtid,qj,qr,qs,tplay,tweek
240228,293,威廉希尔,1.12,6.00,15.00,1.12,6.00,15.00,79.28,14.80,5.92,79.28,14.80,5.92,88.79,88.79,0.85,0.98,1.13,0.85,0.98,1.13,黎巴嫩,亚选赛,106,3,-1,叙利亚,94,4,0,0,2010-03-03,3
240228,5,澳门,1.11,6.20,18.00,1.15,6.20,11.50,80.60,14.43,4.97,77.79,14.43,7.78,89.47,89.46,0.85,1.01,1.35,0.88,1.01,0.86,黎巴嫩,亚选赛,106,3,-1,叙利亚,94,4,0,0,2010-03-03,3
240228,2,立博,1.20,5.00,11.00,1.20,5.00,11.00,74.12,17.79,8.09,74.12,17.79,8.09,88.95,88.95,0.91,0.82,0.83,0.91,0.82,0.83,黎巴嫩,亚选赛,106,3,-1,叙利亚,94,4,0,0,2010-03-03,3
240228,3,bet365,1.20,6.00,9.00,1.18,6.50,13.00,75.00,15.00,10.00,78.60,14.27,7.13,90.00,92.74,0.91,0.98,0.68,0.90,1.06,0.98,黎巴嫩,亚选赛,106,3,-1,叙利亚,94,4,0,0,2010-03-03,3
240228,4,Interwetten,1.20,5.00,10.00,1.20,5.00,10.00,73.53,17.65,8.82,73.53,17.65,8.82,88.24,88.24,0.91,0.82,0.75,0.91,0.82,0.75,黎巴嫩,亚选赛,106,3,-1,叙利亚,94,4,0,0,2010-03-03,3
240228,280,皇冠,1.24,4.95,8.80,1.17,5.30,12.00,71.87,18.00,10.13,75.86,16.75,7.40,89.12,88.75,0.94,0.81,0.66,0.89,0.86,0.90,黎巴嫩,亚选赛,106,3,-1,叙利亚,94,4,0,0,2010-03-03,3
240228,9,易胜博,1.18,5.95,8.90,1.20,5.50,12.00,75.14,14.90,9.96,75.86,16.55,7.59,88.66,91.03,0.90,0.97,0.67,0.91,0.90,0.90,黎巴嫩,亚选赛,106,3,-1,叙利亚,94,4,0,0,2010-03-03,3
240228,6,伟德,1.22,5.50,10.00,1.18,6.00,12.00,74.41,16.51,9.08,77.22,15.19,7.59,90.79,91.12,0.93,0.90,0.75,0.90,0.98,0.90,黎巴嫩,亚选赛,106,3,-1,叙利亚,94,4,0,0,2010-03-03,3
240228,11,Bwin,1.20,5.35,12.00,1.20,5.35,12.00,75.51,16.94,7.55,75.51,16.94,7.55,90.61,90.61,0.91,0.87,0.90,0.91,0.87,0.90,黎巴嫩,亚选赛,106,3,-1,叙利亚,94,4,0,0,2010-03-03,3
240228,14,Coral,1.16,5.00,15.00,1.16,5.00,15.00,76.37,17.72,5.91,76.37,17.72,5.91,88.59,88.59,0.88,0.82,1.13,0.88,0.82,1.13,黎巴嫩,亚选赛,106,3,-1,叙利亚,94,4,0,0,2010-03-03,3
240228,275,博天堂,1.15,6.50,13.00,1.14,6.50,15.00,79.03,13.98,6.99,79.91,14.02,6.07,90.88,91.10,0.88,1.06,0.98,0.87,1.06,1.13,黎巴嫩,亚选赛,106,3,-1,叙利亚,94,4,0,0,2010-03-03,3
240228,15,Eurobet,1.16,5.00,15.00,1.16,5.00,15.00,76.37,17.72,5.91,76.37,17.72,5.91,88.59,88.59,0.88,0.82,1.13,0.88,0.82,1.13,黎巴嫩,亚选赛,106,3,-1,叙利亚,94,4,0,0,2010-03-03,3
240228,18,必发,1.14,5.00,5.90,1.20,7.00,18.50,70.36,16.04,13.60,80.89,13.87,5.25,80.21,97.06,0.87,0.82,0.44,0.91,1.14,1.39,黎巴嫩,亚选赛,106,3,-1,叙利亚,94,4,0,0,2010-03-03,3
240228,295,金宝博,1.24,4.95,8.80,1.19,5.10,12.00,71.87,18.00,10.13,75.05,17.51,7.44,89.12,89.31,0.94,0.81,0.66,0.91,0.83,0.90,黎巴嫩,亚选赛,106,3,-1,叙利亚,94,4,0,0,2010-03-03,3
240228,122,香港马会,1.11,6.00,18.00,1.11,6.00,18.00,80.21,14.84,4.95,80.21,14.84,4.95,89.04,89.04,0.85,0.98,1.35,0.85,0.98,1.35,黎巴嫩,亚选赛,106,3,-1,叙利亚,94,4,0,0,2010-03-03,3
240228,125,互博,1.22,4.80,8.60,1.18,5.10,10.00,71.63,18.21,10.16,74.11,17.15,8.74,87.39,87.45,0.93,0.78,0.65,0.90,0.83,0.75,黎巴嫩,亚选赛,106,3,-1,叙利亚,94,4,0,0,2010-03-03,3
