cid,doc,knum0,knum1,knum3,knum9,kret0,kret1,kret3,kret9,nday,num0,num1,num3,num9,nwin0,nwin1,nwin3,nwin9,ret0,ret1,ret3,ret9,v1,v2,v3,v4,v5,xtim
1,217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05,80.0,0.0,0.0,0.0,sum
1,217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05,70.0,0.0,0.0,0.0,sum
1,218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05,60.0,0.0,0.0,0.0,sum
1,217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05,55.0,0.0,0.0,0.0,sum
1,217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05,45.0,0.0,0.0,0.0,sum
1,215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05,40.0,0.0,0.0,0.0,sum
1,216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05,35.0,0.0,0.0,0.0,sum
1,215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,80.0,0.0,0.0,0.0,sum
1,217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,70.0,0.0,0.0,0.0,sum
1,215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,60.0,0.0,0.0,0.0,sum
1,214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,55.0,0.0,0.0,0.0,sum
1,222,0.0,0.0,100.0,100.0,0.0,0.0,103.0,103.0,500.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.03,1.03,1.1,45.0,0.0,0.0,0.0,sum
1,216,0.0,0.0,100.0,100.0,0.0,0.0,103.0,103.0,500.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.03,1.03,1.1,40.0,0.0,0.0,0.0,sum
1,215,0.0,0.0,100.0,100.0,0.0,0.0,103.0,103.0,500.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.03,1.03,1.1,35.0,0.0,0.0,0.0,sum
1,215,100.0,0.0,83.33,85.71,111.0,0.0,90.0,93.0,500.0,1.0,0.0,6.0,7.0,1.0,0.0,5.0,6.0,1.11,0.0,5.4,6.51,1.15,80.0,0.0,0.0,0.0,sum
1,217,100.0,0.0,80.0,83.33,110.5,0.0,86.8,90.75,500.0,2.0,0.0,10.0,12.0,2.0,0.0,8.0,10.0,2.21,0.0,8.68,10.89,1.15,70.0,0.0,0.0,0.0,sum
1,216,100.0,0.0,77.78,80.0,110.5,0.0,84.78,87.35,500.0,2.0,0.0,18.0,20.0,2.0,0.0,14.0,16.0,2.21,0.0,15.26,17.47,1.15,60.0,0.0,0.0,0.0,sum
1,216,100.0,0.0,78.95,81.82,108.33,0.0,86.16,89.18,500.0,3.0,0.0,19.0,22.0,3.0,0.0,15.0,18.0,3.25,0.0,16.37,19.62,1.15,55.0,0.0,0.0,0.0,sum
1,216,100.0,0.0,80.0,82.14,108.33,0.0,87.48,89.71,500.0,3.0,0.0,25.0,28.0,3.0,0.0,20.0,23.0,3.25,0.0,21.87,25.12,1.15,45.0,0.0,0.0,0.0,sum
1,216,100.0,0.0,77.78,80.0,108.33,0.0,85.26,87.57,500.0,3.0,0.0,27.0,30.0,3.0,0.0,21.0,24.0,3.25,0.0,23.02,26.27,1.15,40.0,0.0,0.0,0.0,sum
1,218,100.0,0.0,82.35,84.21,109.25,0.0,90.15,92.16,500.0,4.0,0.0,34.0,38.0,4.0,0.0,28.0,32.0,4.37,0.0,30.65,35.02,1.15,35.0,0.0,0.0,0.0,sum
1,215,83.33,0.0,82.46,82.54,91.83,0.0,90.51,90.63,500.0,6.0,0.0,57.0,63.0,5.0,0.0,47.0,52.0,5.51,0.0,51.59,57.1,1.2,80.0,0.0,0.0,0.0,sum
1,216,88.89,0.0,85.14,85.54,97.67,0.0,93.41,93.87,500.0,9.0,0.0,74.0,83.0,8.0,0.0,63.0,71.0,8.79,0.0,69.12,77.91,1.2,70.0,0.0,0.0,0.0,sum
1,219,87.5,0.0,87.38,87.39,96.94,0.0,96.08,96.19,500.0,16.0,0.0,103.0,119.0,14.0,0.0,90.0,104.0,15.51,0.0,98.96,114.47,1.2,60.0,0.0,0.0,0.0,sum
1,221,88.24,0.0,87.16,87.3,97.71,0.0,95.95,96.19,500.0,17.0,0.0,109.0,126.0,15.0,0.0,95.0,110.0,16.61,0.0,104.59,121.2,1.2,55.0,0.0,0.0,0.0,sum
1,218,88.46,0.0,87.12,87.34,99.23,0.0,95.99,96.53,500.0,26.0,0.0,132.0,158.0,23.0,0.0,115.0,138.0,25.8,0.0,126.71,152.51,1.2,45.0,0.0,0.0,0.0,sum
