gid,gset,mplay,mtid,gplay,gtid,qj,qs,qr,kend,kwin,kwinrq,tweek,tplay,tsell,cid,pwin9,pdraw9,plost9,kwin_sta
575960,荷甲,埃因霍,378,乌德勒,1275,3.0,0.0,0.0,1,3.0,-1.0,0,2017-02-12,2017-02-12 23:40:00,1,1.19,5.35,9.75,3.0
575956,荷甲,费耶诺,801,格罗宁,834,2.0,0.0,0.0,1,3.0,-1.0,6,2017-02-12,2017-02-12 00:55:00,1,1.13,6.0,13.0,3.0
574021,法甲,摩纳哥,1105,梅斯,1084,5.0,0.0,0.0,1,3.0,-1.0,6,2017-02-12,2017-02-12 00:55:00,1,1.09,6.8,15.5,3.0
573309,比甲,根特,839,欧本,2100,0.0,1.0,0.0,1,0.0,-1.0,6,2017-02-12,2017-02-12 00:55:00,1,1.21,4.95,10.0,3.0
607055,西甲,奥萨苏,622,皇马,883,1.0,3.0,0.0,1,0.0,-1.0,6,2017-02-12,2017-02-12 00:55:00,1,13.75,6.8,1.1,0.0
630285,巴圣锦,科林蒂,1572,圣安德,2204,0.0,2.0,0.0,1,0.0,-1.0,6,2017-02-12,2017-02-12 00:55:00,1,1.2,4.8,11.5,3.0
572964,英超,阿森纳,554,赫尔城,872,2.0,0.0,0.0,1,3.0,-1.0,6,2017-02-11,2017-02-11 20:25:00,1,1.15,5.77,11.5,3.0
596340,德甲,因戈尔,2918,拜仁,664,0.0,2.0,0.0,1,0.0,-1.0,6,2017-02-11,2017-02-11 22:25:00,1,9.1,4.7,1.24,0.0
572968,英超,曼联,1075,沃特福,1274,2.0,0.0,0.0,1,3.0,-1.0,6,2017-02-11,2017-02-11 22:55:00,1,1.13,5.9,13.5,3.0
607047,西甲,阿拉维,542,巴萨,653,0.0,6.0,0.0,1,0.0,-1.0,6,2017-02-11,2017-02-11 23:10:00,1,11.5,6.05,1.14,0.0
610609,意甲,那不勒,1125,热那亚,1179,2.0,0.0,0.0,1,3.0,-1.0,5,2017-02-11,2017-02-10 23:55:00,1,1.15,5.95,11.0,3.0
609776,葡超,本菲卡,678,阿罗卡,5551,3.0,0.0,0.0,1,3.0,-1.0,5,2017-02-11,2017-02-10 23:55:00,1,1.08,6.85,17.5,3.0
634475,巴超联杯,米内罗,1570,若因,6888,2.0,0.0,0.0,1,3.0,-1.0,4,2017-02-10,2017-02-09 23:55:00,1,1.05,7.5,24.0,3.0
634484,解放者杯,勇者,2266,漫游者,2740,4.0,0.0,0.0,1,3.0,-1.0,4,2017-02-10,2017-02-09 23:55:00,1,1.22,5.0,9.1,3.0
610548,意甲,克罗托,243,尤文,1330,0.0,2.0,0.0,1,0.0,-1.0,3,2017-02-09,2017-02-08 23:55:00,1,13.0,5.7,1.14,0.0
627069,德国杯,拜仁,664,沃尔夫,1269,1.0,0.0,0.0,1,3.0,-1.0,2,2017-02-08,2017-02-07 23:55:00,1,1.07,7.4,17.0,3.0
574018,法甲,日尔曼,647,里尔,998,2.0,1.0,0.0,1,3.0,-1.0,2,2017-02-08,2017-02-07 23:55:00,1,1.11,5.95,16.5,3.0
609770,葡超,本菲卡,678,葡国民,1099,3.0,0.0,0.0,1,3.0,-1.0,0,2017-02-06,2017-02-06 00:55:00,1,1.08,6.9,17.0,3.0
575949,荷甲,罗达JC,1030,阿贾克,540,-1.0,-1.0,0.0,0,-1.0,-1.0,0,2017-02-05,2017-02-05 19:25:00,1,9.5,4.9,1.22,0.0
572959,英超,曼城,1072,斯旺西,511,-1.0,-1.0,0.0,0,-1.0,-1.0,0,2017-02-05,2017-02-05 21:25:00,1,1.1,6.85,13.5,3.0
607044,西甲,社会,885,奥萨苏,622,-1.0,-1.0,0.0,0,-1.0,-1.0,0,2017-02-05,2017-02-06 00:55:00,1,1.23,4.7,9.6,3.0
631896,日新杯,鹿岛,1029,横滨FC,3195,0.0,1.0,0.0,1,0.0,-1.0,6,2017-02-04,2017-02-04 12:55:00,1,1.22,4.95,9.25,3.0
596331,德甲,拜仁,664,沙尔克,478,-1.0,-1.0,0.0,0,-1.0,-1.0,6,2017-02-04,2017-02-04 22:25:00,1,1.12,6.4,12.5,3.0
572961,英超,热刺,1238,米德尔,1095,-1.0,-1.0,0.0,0,-1.0,-1.0,6,2017-02-04,2017-02-05 00:55:00,1,1.16,5.5,12.0,3.0
607037,西甲,马竞技,1046,莱加内,971,-1.0,-1.0,0.0,0,-1.0,-1.0,6,2017-02-04,2017-02-05 00:55:00,1,1.2,4.8,12.0,3.0
574003,法甲,第戎,774,日尔曼,647,-1.0,-1.0,0.0,0,-1.0,-1.0,6,2017-02-04,2017-02-05 00:55:00,1,9.1,4.85,1.23,0.0
630273,巴圣锦,桑托斯,472,林斯,6460,-1.0,-1.0,0.0,0,-1.0,-1.0,5,2017-02-03,2017-02-03 23:55:00,1,1.18,4.95,12.5,3.0
631683,西班牙杯,巴萨,653,社会,885,5.0,2.0,0.0,1,3.0,-1.0,4,2017-01-27,2017-01-26 23:55:00,1,1.12,6.45,12.25,3.0
631822,葡联杯,摩雷伦斯,1110,本菲卡,678,3.0,1.0,0.0,1,3.0,-1.0,4,2017-01-27,2017-01-26 23:55:00,1,13.0,5.7,1.14,0.0
632716,日泰杯,尚卡汶,7796,横滨,870,0.0,4.0,0.0,1,0.0,-1.0,4,2017-01-26,2017-01-26 19:55:00,1,6.0,4.3,1.37,0.0
573283,比甲,布鲁日,729,华斯兰,2124,2.0,1.0,0.0,1,3.0,-1.0,3,2017-01-26,2017-01-25 23:55:00,1,1.08,6.9,17.0,3.0
574246,苏超,凯尔特,926,圣约翰,401,1.0,0.0,0.0,1,3.0,-1.0,3,2017-01-26,2017-01-25 23:55:00,1,1.11,6.6,13.0,3.0
632796,苏足总杯,哈茨,855,拉茨流,1917,1.0,1.0,0.0,1,1.0,-1.0,3,2017-01-26,2017-01-25 23:55:00,1,1.18,5.5,10.0,3.0
632713,日泰杯,尚卡汶,7796,鹿岛,1029,2.0,4.0,0.0,1,0.0,-1.0,2,2017-01-24,2017-01-24 16:55:00,1,9.7,5.4,1.19,0.0
