gid,gset,mplay,mtid,gplay,gtid,qj,qs,qr,kend,kwin,kwinrq,tweek,tplay,tsell
633121,亚冠杯,大阪,752,达罗塔,7521,3,0,0,1,3,-1,2,2017-02-07,2017-02-07 17:55:00
633122,亚冠杯,蔚山现代,1603,杰志,4762,-1,-1,0,1,-1,-1,2,2017-02-07,2017-02-07 18:25:00
633123,亚冠杯,上海上港,5230,素可泰,8674,-1,-1,0,1,-1,-1,2,2017-02-07,2017-02-07 19:25:00
633124,亚冠杯,哈萨法,6760,纳萨夫,6172,-1,-1,0,0,-1,-1,2,2017-02-07,2017-02-07 22:55:00
629387,亚冠杯,武体育,6858,创造者,5197,-1,-1,0,0,-1,-1,2,2017-02-07,2017-02-07 23:10:00
629388,亚冠杯,德独立,3980,萨德,2323,-1,-1,0,0,-1,-1,2,2017-02-07,2017-02-07 23:25:00
633125,亚冠杯,瓦赫达,3383,威达特,6747,-1,-1,0,0,-1,-1,2,2017-02-07,2017-02-07 23:55:00
627076,德国杯,瓦尔多夫,7357,比勒费,682,-1,-1,0,0,-1,-1,2,2017-02-07,2017-02-07 23:55:00
627074,德国杯,汉堡,860,科隆,932,-1,-1,0,0,-1,-1,2,2017-02-07,2017-02-07 23:55:00
574015,法甲,蒙彼利,1090,摩纳哥,1105,-1,-1,0,0,-1,-1,2,2017-02-07,2017-02-07 23:55:00
574020,法甲,卡昂,908,波尔多,693,-1,-1,0,0,-1,-1,2,2017-02-07,2017-02-07 23:55:00
634539,英锦赛,考文垂,930,韦康比,1252,-1,-1,0,0,-1,-1,2,2017-02-07,2017-02-07 23:55:00
573250,比甲,华斯兰,2124,亨克,840,-1,-1,0,0,-1,-1,2,2017-02-07,2017-02-07 23:55:00
577865,英冠,维冈,1258,诺维奇,1144,-1,-1,0,0,-1,-1,2,2017-02-07,2017-02-07 23:55:00
578385,英甲,米尔顿,2023,奥德汉,630,-1,-1,0,0,-1,-1,2,2017-02-07,2017-02-07 23:55:00
632465,英锦赛,卢顿,1020,约维尔,1312,-1,-1,0,0,-1,-1,2,2017-02-07,2017-02-07 23:55:00
627069,德国杯,拜仁,664,沃尔夫,1269,-1,-1,0,0,-1,-1,2,2017-02-07,2017-02-07 23:55:00
627073,德国杯,菲尔特,794,门兴,1089,-1,-1,0,0,-1,-1,2,2017-02-07,2017-02-07 23:55:00
610597,意甲,罗马,1032,佛罗伦,803,-1,-1,0,0,-1,-1,2,2017-02-07,2017-02-07 23:55:00
632910,西班牙杯,巴萨,653,马竞技,1046,-1,-1,0,0,-1,-1,2,2017-02-07,2017-02-07 23:55:00
574018,法甲,日尔曼,647,里尔,998,-1,-1,0,0,-1,-1,2,2017-02-07,2017-02-07 23:55:00
574591,法乙,阿雅GF,561,兰斯,975,-1,-1,0,0,-1,-1,2,2017-02-07,2017-02-07 23:55:00
574589,法乙,布尔格,5066,朗斯,979,-1,-1,0,0,-1,-1,2,2017-02-07,2017-02-07 23:55:00
